"Child's name","URL Title","Has URL"
"Aatmay's Clause","sustainable-and-circular-economy-principles-in-leasing-arrangements-for-repair-and-alterations",TRUE
"Agatha's Clause",,TRUE
"Aiden's Clause",,TRUE
"Alex’s Clause",,TRUE
"Alexandros' Clause",,TRUE
"Alice’s Clause",,TRUE
"Anna's Clause",,TRUE
"Annie's Clause",,TRUE
"Archie’s Clause","premium-adjustment-for-do-climate-related-financial-disclosures",TRUE
"Ariel's Clause","incentivising-fuel-efficiency-investments-in-time-chartered-vessels-new",TRUE
"Arlo’s Clause",,TRUE
"Ashkan's Clause",,TRUE
"Athena's Clause",,TRUE
"Austen’s Clause",,TRUE
"Ava's clause",,TRUE
"Ayshe's Clause",,TRUE
"Bailey's Clause",,FALSE
"Beatriz's Sustainability Linked Schedules",,FALSE
"Bella’s Clause",,TRUE
"Benjamin's Licence",,TRUE
"Bradleigh's Clause",,TRUE
"Caesar's Clause",,TRUE
"Callum & Theo’s Clause",,TRUE
"Camden's Clause",,FALSE
"Casper’s Clause",,TRUE
"Cassie's Clause","insurance-disclosure-and-mitigation-of-pending-climate-change-litigation",TRUE
"Charlotte's Clause","green-dispute-reporting-in-after-the-event-insurance-policies",TRUE
"Chloe’s Clause",,TRUE
"Clara's Guide And Checklist",,TRUE
"Connor’s Clause",,TRUE
"Conny's Clause",,FALSE
"Darcy’s Board Minutes",,TRUE
"Dottie’s Clause",,TRUE
"Eddie's Recitals",,TRUE
"Edgar’s Clause",,TRUE
"Elliot’s Handbook",,TRUE
"Elsie's Resolution","shareholder-resolutions-relating-to-a-companys-climate-change-commitments",TRUE
"Emilia’s Protocols",,TRUE
"Emilio's Checklist",,TRUE
"Emma's Clause",,TRUE
"Eric’s Clause",,TRUE
"Estelle’s Clause",,TRUE
"Evan's Protocols",,TRUE
"Evelyn and Ezra’s Clause",,TRUE
"Evie's Clause",,TRUE
"Felix's Clause",,TRUE
"Francis’ Clause",,TRUE
"Frank's Clause",,TRUE
"Gaia's Clause",,FALSE
"Georgie's Clause",,TRUE
"Gordon’s DDQ",,TRUE
"Griff's Clause",,TRUE
"Hanley’s Clause",,TRUE
"Hannah's Clause",,FALSE
"Harrison’s Clause",,TRUE
"Helen's Clause",,FALSE
"Iris’s Clause",,TRUE
"Izzy's Clause",,TRUE
"Jamie's Clause",,FALSE
"Javier's Clause",,TRUE
"Jessica's Clause",,TRUE
"Joni's Clause","promotion-of-sustainable-consumption-in-tv-production",TRUE
"Josie's Clause",,FALSE
"Kaia’s Clause",,TRUE
"Kitty's Clause",,TRUE
"Lagatha's Clause",,TRUE
"Lara's Clause",,FALSE
"Larissa's Clause","facility-agreement-clauses-promoting-sustainability-linked-loans-within-the-cement-industry",TRUE
"Lauren’s Clause","green-shareholders-agreement",TRUE
"Leo & Molly's Clause",,TRUE
"Levi's Clause",,TRUE
"Lewi's Clause",,TRUE
"Lila's Clause",,TRUE
"Lola & Harry’s DDQ",,TRUE
"Lotta's Clause",,FALSE
"Lovisa's Clause","climate-related-knowledge-sharing-between-insurer-and-insured-new",TRUE
"Luke's Clause","the-green-supplier-contract-a-standardised-contractual-pricing-model",TRUE
"Luna's Clause",,TRUE
"Madhavi's Clause",,FALSE
"Maria’s Scorecard",,TRUE
"Marni’s Clause",,TRUE
"Mary’s Clause",,TRUE
"Matilda's Annex",,TRUE
"Matthew's Clause","late-payment-green-interest-remedies",TRUE
"Mia’s Clause","low-carbon-arbitration-hearings",TRUE
"Millie's Clause","incentives-for-insured-parties-to-disclose-and-meet-ghg-emissions-targets-new",TRUE
"Ming's Clause",,TRUE
"Nemo's Clause","parametric-insurance-incentives-for-the-protection-of-coral-reefs-new",TRUE
"Nico's Clause",,TRUE
"Noah's Clause",,TRUE
"Nozomi’s Clause",,TRUE
"Olivia's Clause",,FALSE
"Orli's Clause",,FALSE
"Otto's Clause",,TRUE
"Owen’s Clause",,TRUE
"Paolo's Clause","repair-or-refurbishment-in-insurance-claims",TRUE
"Pasfield's Clause",,TRUE
"Philippe’s Clause",,FALSE
"Ragnar's Clause","green-company-articles",TRUE
"Raphael's Procurement DDQ",,TRUE
"Robyn's Questionnaire",,TRUE
"Rory's Clause",,TRUE
"Rose's Clause",,TRUE
"Rosie’s Clause","climate-aligned-alteration-improvement-provisions-for-leases",TRUE
"Rowen's Clause",,TRUE
"Runa's Clause","Reducing Supply Chain Food Waste",TRUE
"Sasha's Clause",,TRUE
"Sava’s Clause",,TRUE
"Scarlett's Performance Conditions",,TRUE
"Sebastian's Clause",,TRUE
"Sienna’s Clause",,TRUE
"Stella & Flora's Clause",,FALSE
"Suki's Clause","model-smart-mobility-data-sharing-clauses-new",TRUE
"Tala's Clause",,FALSE
"Teddy's Clause",,TRUE
"Tilly's Clause","climate-checklist-for-prospectuses-and-other-public-offering-documents",TRUE
"Toby’s Clause",,TRUE
"Tomas' Clause",,FALSE
"Toryn's Clause",,TRUE
"Tristan’s Clause","construction-materials-green-procurement",TRUE
"Viola's Clause",,TRUE
"William's Clause",,FALSE
"Zack’s Clause",,TRUE
"Zain’s Clause",,TRUE
"Zoë and Bea’s Clause",,TRUE
